Name,Type1,Type2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Ability,Gender
Pokemon88,Fairy,Electric,110,116,57,113,118,35,Sturdy,Genderless
Pokemon89,Fairy,Dragon,62,43,70,51,111,76,Shield Dust,Female
Pokemon90,Psychic,Dragon,89,113,51,106,101,48,Levitate,Female
Pokemon91,Dark,Grass,89,116,30,71,124,87,Run Away,Female
Pokemon92,Dark,Dragon,96,124,104,109,119,97,Shield Dust,Female
Pokemon93,Fire,Psychic,74,79,113,30,39,30,Intimidate,Male
Pokemon94,Ice,Fire,39,41,44,68,117,126,Levitate,Genderless
Pokemon95,Psychic,Electric,55,105,106,38,99,102,Levitate,Female
Pokemon96,Fire,Ice,54,45,86,87,93,73,Blaze,Genderless
Pokemon97,Ice,Normal,80,109,58,119,112,70,Run Away,Female
Pokemon98,Electric,,125,53,61,62,127,84,Overgrow,Genderless
Pokemon99,Normal,Normal,104,53,85,127,80,75,Intimidate,Genderless
Pokemon100,Psychic,Electric,83,70,126,41,41,59,Torrent,Genderless
